50
Kbt
U(Kbt,L)
2,0.65737,0.00186658
2.008,0.659505,0.00100518
2.016,0.661707,0.000272538
2.024,0.661431,0.000391678
2.032,0.658213,0.00104754
2.04,0.661147,0.000133236
2.048,0.659891,0.00122439
2.056,0.659611,0.00130245
2.064,0.660047,0.000449428
2.072,0.659871,0.00094732
2.08,0.658851,0.00138878
2.088,0.659518,0.000464052
2.096,0.656182,0.00113261
2.104,0.658488,0.000792949
2.112,0.657447,0.00087427
2.12,0.658426,0.000858248
2.128,0.655267,0.000976107
2.136,0.658582,0.000167619
2.144,0.656937,0.000301632
2.152,0.655125,0.00110861
2.16,0.647802,0.00280052
2.168,0.649375,0.0018458
2.176,0.65219,0.000423491
2.184,0.646056,0.000980199
2.192,0.642868,0.00206734
2.2,0.639712,0.00198634
2.208,0.639393,0.00162119
2.216,0.642914,0.00151631
2.224,0.642429,0.00189702
2.232,0.636439,0.00242744
2.24,0.631925,0.00222882
2.248,0.629464,0.00251961
2.256,0.609902,0.00372447
2.264,0.610512,0.00401854
2.272,0.597939,0.00471248
2.28,0.594316,0.00592674
2.288,0.5798,0.00296531
2.296,0.581027,0.00290288
2.304,0.562913,0.00561802
2.312,0.557437,0.00627767
2.32,0.532551,0.00922142
2.328,0.501131,0.0117845
2.336,0.487747,0.0100561
2.344,0.486857,0.0061701
2.352,0.437554,0.0136953
2.36,0.443507,0.00858262
2.368,0.375889,0.0107651
2.376,0.425571,0.00687291
2.384,0.402979,0.00785824
2.392,0.331536,0.0163076
